Date,Open,High,Low,Close,Volume,TB_Label,BIAS_5,BIAS_10,BIAS_20,BIAS_60,RSI_14,MACD_DIF,MACD_SIGNAL,MACD_HIST
2019-10-01,10855.599609375,10967.650390625,10855.599609375,10967.650390625,2028800.0,1.0,,,,,,,,
2019-10-02,10945.919921875,10965.2001953125,10927.3896484375,10947.8798828125,1628000.0,1.0,,,,,,,,
2019-10-03,10866.5,10888.400390625,10809.2802734375,10875.91015625,1753500.0,1.0,,,,,,,,
2019-10-04,10907.6904296875,10941.490234375,10854.1201171875,10894.48046875,1759200.0,1.0,,,,,,,,
2019-10-07,10932.240234375,10954.4501953125,10919.4296875,10935.0595703125,1617600.0,1.0,0.0994441739169627,,,,,,,
2019-10-08,10986.009765625,11020.509765625,10986.009765625,11017.3095703125,1872400.0,1.0,0.7607523998246934,,,,,,,
2019-10-09,10976.9296875,10989.3896484375,10889.9599609375,10889.9599609375,1941600.0,1.0,-0.29831863838811756,,,,,,,
2019-10-14,11004.740234375,11085.490234375,11004.740234375,11066.9501953125,2395500.0,1.0,0.9688955889310291,,,,,,,
2019-10-15,11103.5,11126.4501953125,11091.2900390625,11111.7998046875,2031800.0,1.0,0.9776615265616018,,,,,,,
2019-10-16,11166.169921875,11180.1103515625,11113.1796875,11162.830078125,2346500.0,1.0,1.023190139246033,1.6005037068634875,,,,,,
2019-10-17,11156.1396484375,11186.8798828125,11131.4501953125,11186.8798828125,2151300.0,1.0,0.9310613563412451,1.6166358989339935,,,,,,
2019-10-18,11190.2099609375,11237.3798828125,11154.8603515625,11180.2197265625,2561700.0,1.0,0.3454020924421153,1.3422580382657312,,,,,,
2019-10-21,11166.240234375,11188.1298828125,11147.8603515625,11184.150390625,1760000.0,1.0,0.16994281238675857,1.0954245730742773,,,,,,
2019-10-22,11221.1904296875,11271.25,11218.25,11271.25,2112800.0,0.0,0.6625305617693034,1.53693001414974,,,,,,
2019-10-23,11266.1796875,11281.1201171875,11209.099609375,11239.669921875,2304700.0,0.0,0.24290834209552692,0.9753568802729262,,,67.28909081880927,,,
2019-10-24,11266.83984375,11320.1396484375,11254.58984375,11320.1396484375,2106800.0,0.0,0.7211770724793398,1.4223565270404137,,,70.53492832465184,,,
