date,Open,High,Low,Close,Volume,seconds
2023-07-26 00:00:00,29181.50000000,29251.41000000,29181.50000000,29249.84000000,285.97655000,1690300800
2023-07-26 00:15:00,29249.83000000,29295.76000000,29225.48000000,29230.88000000,261.80983000,1690301700
2023-07-26 00:30:00,29230.89000000,29255.00000000,29220.00000000,29242.93000000,159.85207000,1690302600
2023-07-26 00:45:00,29242.94000000,29242.94000000,29200.01000000,29228.79000000,207.60749000,1690303500
2023-07-26 01:00:00,29228.78000000,29237.11000000,29188.00000000,29194.73000000,271.87258000,1690304400
2023-07-26 01:15:00,29194.73000000,29270.00000000,29194.72000000,29268.01000000,198.59875000,1690305300
2023-07-26 01:30:00,29268.01000000,29286.77000000,29253.24000000,29267.39000000,170.18962000,1690306200
2023-07-26 01:45:00,29267.39000000,29276.00000000,29238.23000000,29275.99000000,144.91490000,1690307100
2023-07-26 02:00:00,29276.00000000,29300.00000000,29260.11000000,29288.00000000,237.28591000,1690308000
2023-07-26 02:15:00,29288.00000000,29288.01000000,29268.17000000,29277.99000000,135.08468000,1690308900
2023-07-26 02:30:00,29277.98000000,29376.00000000,29277.98000000,29292.99000000,444.36722000,1690309800
2023-07-26 02:45:00,29292.99000000,29312.00000000,29256.60000000,29264.01000000,260.20384000,1690310700
2023-07-26 03:00:00,29264.01000000,29277.95000000,29258.03000000,29265.61000000,140.30559000,1690311600
2023-07-26 03:15:00,29265.61000000,29269.60000000,29249.05000000,29257.34000000,151.82271000,1690312500
2023-07-26 03:30:00,29257.35000000,29265.92000000,29225.35000000,29226.99000000,193.26697000,1690313400
2023-07-26 03:45:00,29226.99000000,29231.62000000,29196.84000000,29198.83000000,212.00457000,1690314300
2023-07-26 04:00:00,29198.82000000,29237.18000000,29183.93000000,29200.68000000,323.65921000,1690315200
2023-07-26 04:15:00,29200.69000000,29232.80000000,29200.68000000,29232.79000000,131.74931000,1690316100
2023-07-26 04:30:00,29232.80000000,29235.75000000,29222.00000000,29224.00000000,125.65279000,1690317000
2023-07-26 04:45:00,29224.00000000,29241.35000000,29223.99000000,29229.85000000,155.67225000,1690317900
2023-07-26 05:00:00,29229.84000000,29234.00000000,29224.00000000,29234.00000000,109.75525000,1690318800
2023-07-26 05:15:00,29233.99000000,29245.37000000,29233.99000000,29245.36000000,68.76251000,1690319700
2023-07-26 05:30:00,29245.36000000,29245.37000000,29228.66000000,29228.67000000,68.33556000,1690320600
2023-07-26 05:45:00,29228.67000000,29228.93000000,29214.35000000,29228.93000000,79.08963000,1690321500
2023-07-26 06:00:00,29228.92000000,29255.99000000,29228.00000000,29238.42000000,153.05743000,1690322400
2023-07-26 06:15:00,29238.42000000,29238.43000000,29214.35000000,29220.68000000,101.48841000,1690323300
2023-07-26 06:30:00,29220.69000000,29225.35000000,29214.35000000,29224.77000000,78.30524000,1690324200
2023-07-26 06:45:00,29224.77000000,29224.78000000,29206.45000000,29206.46000000,108.76930000,1690325100
2023-07-26 07:00:00,29206.45000000,29219.92000000,29199.62000000,29201.99000000,90.62850000,1690326000
2023-07-26 07:15:00,29201.99000000,29215.26000000,29201.99000000,29215.26000000,86.33227000,1690326900
2023-07-26 07:30:00,29215.26000000,29235.00000000,29206.35000000,29223.46000000,107.40848000,1690327800
2023-07-26 07:45:00,29223.45000000,29247.30000000,29223.45000000,29228.91000000,122.90371000,1690328700
2023-07-26 08:00:00,29228.91000000,29233.71000000,29204.48000000,29208.00000000,179.58235000,1690329600
2023-07-26 08:15:00,29207.99000000,29216.11000000,29140.00000000,29191.65000000,238.24948000,1690330500
2023-07-26 08:30:00,29191.66000000,29191.66000000,29156.01000000,29185.00000000,132.84695000,1690331400
2023-07-26 08:45:00,29185.00000000,29185.01000000,29166.76000000,29166.76000000,123.61428000,1690332300
2023-07-26 09:00:00,29166.77000000,29174.00000000,29122.89000000,29149.44000000,171.14227000,1690333200
2023-07-26 09:15:00,29149.44000000,29171.79000000,29143.74000000,29154.00000000,137.60616000,1690334100
2023-07-26 09:30:00,29154.00000000,29156.57000000,29096.94000000,29142.12000000,305.13633000,1690335000
2023-07-26 09:45:00,29142.12000000,29152.35000000,29130.46000000,29131.01000000,165.56451000,1690335900
2023-07-26 10:00:00,29131.01000000,29157.12000000,29131.00000000,29144.98000000,228.61131000,1690336800
2023-07-26 10:15:00,29144.99000000,29189.34000000,29140.00000000,29189.33000000,109.07965000,1690337700
2023-07-26 10:30:00,29189.33000000,29190.44000000,29161.52000000,29182.16000000,391.54981000,1690338600
2023-07-26 10:45:00,29182.16000000,29299.00000000,29178.00000000,29288.57000000,246.46377000,1690339500
2023-07-26 11:00:00,29288.57000000,29412.88000000,29256.37000000,29310.54000000,945.14008000,1690340400
2023-07-26 11:15:00,29310.53000000,29324.24000000,29232.36000000,29234.00000000,584.78239000,1690341300
2023-07-26 11:30:00,29234.00000000,29247.76000000,29210.00000000,29247.76000000,221.79619000,1690342200
2023-07-26 11:45:00,29247.75000000,29255.96000000,29241.04000000,29242.81000000,120.28416000,1690343100
